task,vlm,model,nll,AIC,BIC,n_params,n_trials,delta_AIC,delta_BIC
Brightness,qwen2.5-vl-32b,PE,1408.7567298270474,2849.5134596540947,2926.2805062616935,16,896,1154.4310909252104,1154.4310909252104
Brightness,qwen2.5-vl-32b,LogN,1685.2877525561885,3404.575505112377,3486.140492132951,17,896,1709.4931363834926,1714.2910767964677
Brightness,qwen2.5-vl-72b,SDT,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Brightness,qwen2.5-vl-72b,BCH,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Brightness,qwen2.5-vl-72b,LogN,1204.0859960213934,2442.1719920427868,2523.7369790633606,17,896,1168.0522444793646,1172.8501848923397
Brightness,qwen2.5-vl-72b,WEV,1203.8338009437812,2443.6676018875623,2530.0305293211113,18,896,1169.5478543241402,1179.1437351500904
Brightness,qwen2.5-vl-72b,PE,1241.3076710084729,2514.6153420169458,2591.3823886245445,16,896,1240.4955944535236,1240.4955944535236
Brightness,qwen2.5-vl-7b,SDT,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Brightness,qwen2.5-vl-7b,BCH,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Brightness,qwen2.5-vl-7b,WEV,1217.9548624708175,2471.909724941635,2558.2726523751835,18,896,1197.7899773782128,1207.3858582041626
Brightness,qwen2.5-vl-7b,LogN,1249.1281782261856,2532.256356452371,2613.821343472945,17,896,1258.136608888949,1262.934549301924
Brightness,qwen2.5-vl-7b,PE,1530.7255590374116,3093.451118074823,3170.218164682422,16,896,1819.331370511401,1819.331370511401
Gabor,claude-sonnet-4-5,SDT,1446.981373303407,2925.962746606814,3002.729793214413,16,896,0.0,0.0
Gabor,claude-sonnet-4-5,LogN,1877.202344893732,3788.404689787464,3869.969676808038,17,896,862.44194318065,867.2398835936251
Gabor,claude-sonnet-4-5,PE,2049.5204169427757,4131.040833885551,4207.80788049315,16,896,1205.0780872787373,1205.0780872787373
Gabor,claude-sonnet-4-5,BCH,3130.011155902018,6292.022311804036,6368.789358411635,16,896,3366.0595651972217,3366.0595651972217
Gabor,claude-sonnet-4-5,WEV,6725.944489048137,13487.888978096275,13574.251905529823,18,896,10561.92623148946,10571.522112315412
Gabor,gemma3_27b,SDT,780.5589883377546,1593.1179766755092,1669.885023283108,16,896,0.0,0.0
Gabor,gemma3_27b,BCH,783.9256763638425,1599.851352727685,1676.6183993352838,16,896,6.7333760521757995,6.7333760521757995
Gabor,gemma3_27b,LogN,1097.4351535691446,2228.8703071382893,2310.435294158863,17,896,635.75233046278,640.5502708757551
Gabor,gemma3_27b,WEV,1098.4579569443788,2232.9159138887576,2319.278841322306,18,896,639.7979372132484,649.3938180391981
Gabor,gemma3_27b,PE,1801.3670138122893,3634.7340276245786,3711.5010742321774,16,896,2041.6160509490694,2041.6160509490694
Gabor,gpt-4o,SDT,1340.8123293824847,2713.6246587649694,2790.391705372568,16,896,0.0,0.0
Gabor,gpt-4o,BCH,1570.8220699353728,3173.6441398707457,3250.4111864783445,16,896,460.0194811057763,460.0194811057763
Gabor,gpt-4o,PE,1752.6705168322133,3537.3410336644265,3614.1080802720253,16,896,823.7163748994572,823.7163748994572
Gabor,gpt-4o,LogN,1791.9195891863255,3617.839178372651,3699.404165393225,17,896,904.2145196076817,909.0124600206568
Gabor,gpt-4o,WEV,1792.846711051729,3621.693422103458,3708.056349537007,18,896,908.0687633384887,917.6646441644389
Gabor,gpt-5,SDT,943.260122003383,1918.520244006766,1995.2872906143648,16,896,0.0,0.0
Gabor,gpt-5,PE,1372.7016752403954,2777.403350480791,2854.1703970883896,16,896,858.8831064740248,858.8831064740248
Gabor,gpt-5,BCH,1559.1682276640086,3150.336455328017,3227.103501935616,16,896,1231.816211321251,1231.816211321251
Gabor,gpt-5,WEV,1927.238943033803,3890.477886067606,3976.840813501155,18,896,1971.95764206084,1981.5535228867902
Gabor,gpt-5,LogN,1946.9853862338316,3927.970772467663,4009.535759488237,17,896,2009.4505284608972,2014.2484688738723
Gabor,kimi-vl-a3b,SDT,795.0068252026119,1622.0136504052239,1698.7806970128227,16,896,0.0,0.0
Gabor,kimi-vl-a3b,WEV,803.4861875882912,1642.9723751765823,1729.335302610131,18,896,20.958724771358447,30.55460559730841
Gabor,kimi-vl-a3b,PE,806.4163746041656,1644.8327492083313,1721.59979581593,16,896,22.81909880310741,22.81909880310741
