task,vlm,model,nll,AIC,BIC,n_params,n_trials,delta_AIC,delta_BIC
Gabor,qwen2.5-vl-72b,LogN,2065.531973489242,4165.063946978484,4246.628933999057,17,896,2539.8743344633494,2544.672274876324
Gabor,qwen2.5-vl-72b,PE,2099.9441835035573,4231.8883670071145,4308.655413614713,16,896,2606.6987544919803,2606.6987544919803
Gabor,qwen2.5-vl-7b,BCH,1324.9811386950037,2681.9622773900073,2758.729323997606,16,896,0.0,0.0
Gabor,qwen2.5-vl-7b,SDT,1349.586901130444,2731.173802260888,2807.9408488684867,16,896,49.21152487088057,49.21152487088057
Gabor,qwen2.5-vl-7b,WEV,1653.0044046927158,3342.0088093854315,3428.37173681898,18,896,660.0465319954242,669.6424128213739
Gabor,qwen2.5-vl-7b,PE,1799.1730423897136,3630.346084779427,3707.113131387026,16,896,948.3838073894199,948.3838073894199
Gabor,qwen2.5-vl-7b,LogN,1862.4936054457403,3758.9872108914806,3840.5521979120545,17,896,1077.0249335014732,1081.8228739144483
Grid,gemma3_27b,PE,858.0810800682473,1748.1621601364945,1824.9292067440933,16,896,0.0,0.0
Grid,gemma3_27b,LogN,903.855590679117,1841.711181358234,1923.2761683788078,17,896,93.5490212217394,98.34696163471449
Grid,gemma3_27b,BCH,1388.689749335281,2809.379498670562,2886.146545278161,16,896,1061.2173385340675,1061.2173385340675
Grid,gemma3_27b,SDT,1652.2826572206836,3336.5653144413673,3413.332361048966,16,896,1588.4031543048727,1588.4031543048727
Grid,gemma3_27b,WEV,3127.862760303042,6291.725520606084,6378.088448039633,18,896,4543.563360469589,4553.15924129554
Grid,kimi-vl-a3b,SDT,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Grid,kimi-vl-a3b,BCH,621.098215581927,1274.196431163854,1350.9634777714527,16,896,0.07668360043180655,0.07668360043180655
Grid,kimi-vl-a3b,WEV,728.8306229018351,1493.6612458036702,1580.024173237219,18,896,219.54149824024807,229.13737906619804
Grid,kimi-vl-a3b,PE,1748.129667671461,3528.259335342922,3605.0263819505208,16,896,2254.1395877795,2254.1395877795
Grid,kimi-vl-a3b,LogN,3614.805123209931,7263.610246419862,7345.1752334404355,17,896,5989.490498856439,5994.288439269414
Grid,ovis2_34b,BCH,863.2282879703193,1758.4565759406387,1835.2236225482375,16,896,0.0,0.0
Grid,ovis2_34b,SDT,874.6245436820607,1781.2490873641214,1858.0161339717201,16,896,22.792511423482665,22.792511423482665
Grid,ovis2_34b,PE,1028.4753942159778,2088.9507884319555,2165.7178350395543,16,896,330.49421249131683,330.49421249131683
Grid,ovis2_34b,LogN,1764.923269189981,3563.846538379962,3645.411525400536,17,896,1805.3899624393234,1810.1879028522985
Grid,ovis2_34b,WEV,1797.7588835379506,3631.5177670759012,3717.88069450945,18,896,1873.0611911352626,1882.6570719612128
Grid,qwen2.5-vl-32b,LogN,1091.5209256787787,2217.0418513575573,2298.606838378131,17,896,0.0,0.0
Grid,qwen2.5-vl-32b,PE,1238.5109477197657,2509.0218954395314,2585.78894204713,16,896,291.98004408197403,287.18210366899893
Grid,qwen2.5-vl-32b,BCH,1667.5380356361977,3367.0760712723954,3443.843117879994,16,896,1150.034219914838,1145.236279501863
Grid,qwen2.5-vl-32b,SDT,1735.65700632596,3503.31401265192,3580.081059259519,16,896,1286.2721612943628,1281.4742208813877
Grid,qwen2.5-vl-32b,WEV,5344.230971821311,10724.461943642622,10810.82487107617,18,896,8507.420092285065,8512.21803269804
Grid,qwen2.5-vl-72b,PE,1204.2013486662752,2440.4026973325504,2517.169743940149,16,896,0.0,0.0
Grid,qwen2.5-vl-72b,BCH,1234.901023250069,2501.802046500138,2578.569093107737,16,896,61.39934916758784,61.39934916758784
Grid,qwen2.5-vl-72b,SDT,1235.6279433740392,2503.2558867480784,2580.022933355677,16,896,62.85318941552805,62.85318941552805
Grid,qwen2.5-vl-72b,WEV,1393.1252206119566,2822.250441223913,2908.613368657462,18,896,381.8477438913628,391.443624717313
Grid,qwen2.5-vl-72b,LogN,1472.6760891113363,2979.3521782226726,3060.9171652432465,17,896,538.9494808901222,543.7474213030973
Grid,qwen2.5-vl-7b,SDT,768.4540559127367,1568.9081118254735,1645.6751584330723,16,896,0.0,0.0
Grid,qwen2.5-vl-7b,BCH,773.8429639966639,1579.6859279933278,1656.4529746009266,16,896,10.777816167854326,10.777816167854326
Grid,qwen2.5-vl-7b,PE,1253.1680169922938,2538.3360339845876,2615.1030805921864,16,896,969.4279221591141,969.4279221591141
Grid,qwen2.5-vl-7b,WEV,1690.5281706297865,3417.056341259573,3503.419268693122,18,896,1848.1482294340994,1857.7441102600496
Grid,qwen2.5-vl-7b,LogN,2679.83547973543,5393.67095947086,5475.235946491433,17,896,3824.7628476453865,3829.560788058361
